Player,TEAM,AGE,GP,MIN,FGA,FTA,FGM3,FGA3,PTS,BLK,STL,AST,TOV,REB.Chances,Opp.FGA.at.Rim,Opp.FGPer.at.Rim,RAFGA,Passes.Made.per.Game,Touches.per.Game,AO,SecondAST,FTAst,AST.PTS.Created,Drive.PTS,Catch.Shoot.PTS,Pull.Up.PTS,Paint.Touch.PTS,Post.Touch.PTS,Elbow.Touch.PTS
Aaron Brooks,CHI,31,45,15.9,6.8,0.9,1,2.8,6.9,0.2,0.4,2.5,1,3.2,0.9,52.4,2,24.2,33.7,4.8,0.7,0.2,6.1,2.6,1.8,2.1,0,0,0
Aaron Gordon,ORL,20,54,22.2,6.4,2.3,0.5,1.5,7.8,0.7,0.7,1.5,0.9,10.7,2.7,46.2,3,26.8,36.1,2.4,0.3,0.1,3.4,1.1,1.7,0.7,1.1,1.4,0.3
Aaron Harrison,CHA,21,13,4.2,0.8,0.5,0.1,0.2,0.5,0,0.3,0,0.2,1.5,0.2,0,0.3,1.9,3.2,0.1,0.1,0,0,0.1,0.2,0,0,0,0
Adreian Payne,MIN,25,35,9.5,2.7,0.3,0.2,0.7,2.6,0.3,0.3,0.5,0.6,3.9,2.2,62.3,0.8,14.7,18.9,0.9,0.1,0,1.1,0.2,0.9,0.4,0.5,0.4,0.2
Al Horford,ATL,29,58,32,12.9,1.7,1,3,15.4,1.6,0.8,3.1,1.3,13.2,7.9,49.3,4.2,45.9,62.4,6.5,0.8,0.3,7.7,0.9,6.2,0.4,3.2,3.6,1
Al Jefferson,CHA,31,21,25,11.5,2,0,0,12.5,1,0.7,1.5,0.9,11.2,5.4,58.8,3.4,19,32.8,2.7,0.2,0.2,3.7,0,3,0.5,3.6,4.3,0.8
Al-Farouq Aminu,POR,25,57,29.2,9,1.9,1.4,4.1,10.1,0.7,0.9,1.6,1.6,11.6,3.2,52.2,2.9,25.2,37.7,3.1,0.5,0.3,4,1.5,4.2,1.1,0.9,0.9,0.2
Alec Burks,UTA,24,28,27.1,11.6,5,1,2.7,14.3,0.1,0.6,2.1,1.8,6.4,2.3,64.1,4.1,34.9,52.1,4.8,0.4,0.3,4.9,5.5,1.9,3.7,0.1,0.4,0.5
Alex Len,PHX,22,53,19.8,6.2,2.3,0,0.1,7.4,0.9,0.5,0.9,1.4,12.4,4.7,49.4,3.5,22.4,31.8,1.7,0.2,0,2.2,0.2,1.1,0.1,2.8,3.4,0.7
Alex Stepheson,LAC,28,2,4.4,0.5,0,0,0,1,0.5,0,0,0,2.5,1,100,0.5,2,3.5,0,0,0,0,0,0,0,0,0,0
Alexis Ajinca,NOP,27,44,12.3,4,0.8,0,0,4.6,0.5,0.3,0.4,0.6,7,2.8,51.2,1.7,16.4,21.8,0.8,0.1,0,1.1,0.2,1.4,0.1,1.5,1.6,1
Allen Crabbe,POR,23,56,26,9,1.3,1.4,3.6,10.9,0.2,0.9,1.2,0.9,4.3,1.1,45,1.4,20.9,31.9,2.7,0.4,0.3,3,0.5,4.8,2.8,0.4,0.4,0.3
Alonzo Gee,NOP,28,56,21.5,3.2,0.7,0.3,0.9,3.9,0.2,0.9,0.9,0.7,6.7,1.9,55.1,1.8,16.1,20.9,1.6,0.3,0.1,2.3,0.7,0.9,0.1,0.5,0.5,0
Amar'e Stoudemire,MIA,33,28,14.4,4.1,1.5,0,0,5.3,0.8,0.3,0.8,1,8.5,3.1,48.3,3.1,14,20.5,1.4,0.1,0,1.7,0,0.3,0.2,2.3,2.9,0.3
Amir Johnson,BOS,28,55,22.9,5.5,1.4,0.2,0.7,7.3,1,0.7,1.7,1.2,12.7,5.8,48.9,3.5,32.3,40.4,3,0.7,0.2,3.9,0.4,0.5,0.2,3,3.2,0.2
Anderson Varejao,GSW,33,31,10,2.5,0.7,0,0,2.6,0.2,0.4,0.6,0.5,6.1,2.2,57.4,0.8,15.8,19.6,1.5,0.2,0,1.6,0.2,0.8,0.1,0.5,0.5,1.1
Andre Drummond,DET,22,57,33.8,13.6,7.8,0,0.1,16.9,1.5,1.6,0.8,2.1,22.6,9.1,52.4,9.6,27.8,46.3,2.1,0.4,0.1,2.1,0.5,0.4,0.3,6.3,7.1,0.5
Andre Iguodala,GSW,32,54,27.2,6,1.4,0.9,2.6,7.5,0.3,1.2,3.5,1.3,6.4,1.9,59,2,33.7,43.3,6.3,1.1,0.4,8.8,0.6,2.5,1.1,0.9,0.8,0.1
Andre Miller,MIN,39,26,10.8,2.2,0.7,0,0.2,3.4,0,0.3,2.2,1,2.1,0.5,69.2,1.4,19.2,24.3,4.4,0.3,0.2,5.4,1.3,0.1,0.7,0.5,0.6,0
Andre Roberson,OKC,24,45,21.7,4.1,0.8,0.4,1.4,4.9,0.7,0.9,0.8,0.6,6.6,2,49.4,2.5,12.8,18.3,1.6,0.3,0.1,1.9,0.4,1,0.1,1,1.2,0.2
Andrea Bargnani,BKN,30,46,13.8,6.1,1.2,0.1,0.3,6.6,0.2,0.1,0.4,0.6,4,2,65.6,1,15.7,23.1,0.7,0.2,0,1,0.5,3.3,1,0.7,0.6,1.6
Andrew Bogut,GSW,31,47,20.9,4.1,0.8,0,0,5.3,1.8,0.4,2.1,1.1,12,7,43,3.1,31,37.2,3.9,0.8,0.1,5.1,0.1,0.1,0.1,2.8,3,0.2
Andrew Nicholson,ORL,26,36,15.3,5.4,0.9,0.7,2,6.1,0.4,0.2,0.3,0.8,7.1,2.5,51.7,1.6,15.3,22.5,0.9,0.2,0,0.9,0.6,2.2,0.3,0.7,1.1,0
Andrew Wiggins,MIN,21,56,35.1,16.4,7.4,0.6,2.3,20.7,0.6,0.8,1.9,2.1,7.7,2.4,54,6,23.7,47.1,4.1,0.7,0.2,4.3,4.1,2.1,4,2.1,2.5,2.2
Anthony Bennett,TOR,22,17,4.7,1.5,0.6,0.1,0.8,1.5,0,0.3,0,0.2,1.9,0.5,100,0.6,7.9,9.8,0.2,0.1,0,0,0.1,0.4,0,0.4,0.4,0
Anthony Brown,LAL,23,25,19,4,0.7,0.7,2.3,3.8,0.2,0.4,0.5,0.6,4.4,1.5,70.3,0.6,14.2,19.6,1.5,0.2,0,1.2,0.4,2.1,0.7,0,0,0
Anthony Davis,NOP,22,50,35.7,18.2,6.9,0.5,1.6,24,2.2,1.3,1.9,2,15.6,6.3,47.9,6.4,43.4,67.8,3.9,0.3,0.2,4.6,1.1,4.9,2.5,5.2,5.2,3.3
Anthony Morrow,OKC,30,50,14.4,5,0.4,1.2,3,5.5,0.1,0.4,0.3,0.2,1.7,0.9,54.5,0.4,7.6,13.1,0.7,0,0.1,0.8,0.3,3.3,1.1,0,0.1,0.1
